Text,Start Location,End Location,Is Quote,Speaker,Context,Entity Name
"yes,",21323,21339,True,685:the little owl.F,",” gulped the little owl.“Yes, indeed. See, her parents had gone off to fight in the borderlands skirmishes, and they had left her all safe and sound.”“I was supposed to be sitting the two new eggs. Mum was really only off hunting, not fighting. She was going to be right back.”“What happened?” Soren asked.“A fire— forest fire. I didn’t think it would reach our tree and when it did, well, I tried to save one of the eggs. But you know, I haven’t been flying that long and, well, I just…” Here, she began to sob uncontrollably. A bunchy Barred Owl poked her head in.“Any tea here?”“Oh, yes, I think a cup of milkberry tea would be lovely.”“I dropped the egg. I don’t deserve to live.” Primrose emitted a long sound halfway between a whistle and a wail.“Don’t say that!” Soren exclaimed.“Of course you deserve to live. Every owl deserves to live. That’s why we came here.” Matron stopped what she was doing and cocked her head and regarded the young Barn Owl. Perhaps he was learning; just perhaps he was beginning to catch a glimmer of the true meaning of a noble deed. She would leave him to comfort this little Pygmy Owl and send in an extra cup of tea and some milkberry tart. Soren stayed with Primrose for the rest of the evening. She was sometimes a bit feverish and would begin to mumble about the little brother she was",the little owl
"Harry,”",233530,233542,True,334:Madam Pomfrey.F,"lying on the bedside table.“Is he okay?” Harry asked.“He’ll be fine,” said Madam Pomfrey, giving Harry some pajamas and pulling screens around him. He took off his robes, pulled on the pajamas, and got into bed. Ron, Hermione, Bill, Mrs. Weasley, and the black dog came around the screen and settled themselves in chairs on either side of him. Ron and Hermione were looking at him almost cautiously, as though scared of him.“I’m all right,” he told them.“Just tired.” Mrs. Weasley’s eyes filled with tears as she smoothed his bedcovers unnecessarily. Madam Pomfrey, who had bustled off to her office, returned holding a small bottle of some purple potion and a goblet.“You’ll need to drink all of this, Harry,” she said.“It’s a potion for dreamless sleep.” Harry took the goblet and drank a few mouthfuls. He felt himself becoming drowsy at once. Everything around him became hazy; the lamps around the hospital wing seemed to be winking at him in a friendly way through the screen around his bed; his body felt as though it was sinking deeper into the warmth of the feather matress. Before he could finish the potion, before he could say another word, his exhaustion had carried him off to sleep. Harry woke up, so warm, so very sleepy, that he didn’t open his eyes, wanting to drop off again. The room was still dimly lit; he was sure it was still nighttime and had a feeling that he couldn’t have been asleep",Madam Pomfrey
"“Gee,",14288,14301,True,538:the little ones.?,"the desert,” Digger said.“That’s my beak, idiot. I can assure you that neither I nor anyone in my family is a cactus in bloom— whatever a cactus is and whatever a desert is.”“Well, what are you?” Mrs. Plithiver finally spoke up.“Well, what in the name of ice are you?” the creature retorted.“I’m a snake… a nest- maid snake. I serve these most noble of birds, owls.”“Well,” said the creature who was not a cactus,“we’re just a bunch of puffins.”“Puffins!” Twilight hooted.“Puffins are northern birds, far northern birds.”“Duh!” said one of the little ones.“Gee, Pop, I’m feeling smarter all the time.”“But if you’re puffins,” Gylfie continued,“we must be in the North.”“Ta- da!” said one of the puffins.“Gee, you owls are getting smarter every minute!”“Does she get a prize, Mummy, for answering the question right?” Another little chick, with an immense beak almost as long as it was tall, poked its head out of the hole.“Oh, we’re just having fun with them, Dumpy.”“But how did we get so far north?” Soren asked.“Must have gotten blown off course,” said the female.“Where you come from?”“The Beaks,” Twilight said.“Where you headed?”“The island in",the little ones
your Wheezy— Wheezy who is giving Dobby his sweater!”,163403,163420,True,1327:the elf.F,", plucking at Harry’s sleeve.“You is supposed to be down by the lake with the other champions, sir!”“It’s too late, Dobby,” Harry said hopelessly.“I’m not doing the task, I don’t know how—”“Harry Potter will do the task!” squeaked the elf.“Dobby knew Harry had not found the right book, so Dobby did it for him!”“What?” said Harry.“But you don’t know what the second task is—”“Dobby knows, sir! Harry Potter has to go into the lake and find his Wheezy—”“Find my what?”“— and take his Wheezy back from the merpeople!”“What’s a Wheezy?”“Your Wheezy, sir, your Wheezy— Wheezy who is giving Dobby his sweater!” Dobby plucked at the shrunken maroon sweater he was now wearing over his shorts.“What?” Harry gasped.“They’ve got… they’ve got Ron?”“The thing Harry Potter will miss most, sir!” squeaked Dobby.“‘ But past an hour—’”“—‘ the prospect’s black,’” Harry recited, staring, horror- struck, at the elf.“‘ Too late, it’s gone, it won’t come back.’ Dobby— what’ve I got to do?”“You has to eat this, sir!” squeaked the elf, and he put his hand in the pocket of his shorts and drew out a ball of what looked like slimy, grayish- green rat tails.“Right",the elf
“What are you doing out there?,21075,21096,True,175:Matron.?,"sound. Soon, he came to another hollow. Like most, this hollow had both an inside and an outside entrance so that one could either fly in or walk in from one of the many inner pathways through the trunk of the tree. He peeked in. He saw the Short- eared Owl called Matron who had led them to their own hollow. She was bustling about, plucking down from her own breast and tucking it in around an owl.“Now, now, dear, we know you did your best.”“But what will Mum and Da think?” For a moment Soren’s gizzard gave a lurch. Could this little owl be Eglantine?“They will think that you were a brave little Pygmy Owl,” Matron replied. Soren sighed.“What are you doing out there? Just don’t stand around, come in and make yourself useful,” Matron called. Soren came slowly into the hollow. The little owl was nearly as small as Gylfie; she was very fluffy, although she smelled of soot and some of her feathers were singed.“Now what did you say your name was, dear?” Matron bent over the Pygmy Owl.“Primrose.”“Yes. Primrose here lost her nest.”“The whole tree,” gulped the little owl.“Yes, indeed. See, her parents had gone off to fight in the borderlands skirmishes, and they had left her all safe and sound.”“I was supposed to be sitting the two new eggs. Mum was really only off hunting, not fighting. She was going to be right back.”“What happened?” Soren",Matron
"“All I know is I’ve heard enough to interest the police tonight,",5059,5095,True,175:Frank.M,"it cast long, spidery shadows upon the walls. Frank stared at the back of the armchair; the man inside it seemed to be even smaller than his servant, for Frank couldn’t even see the back of his head.“You heard everything, Muggle?” said the cold voice.“What’s that you’re calling me?” said Frank defiantly, for now that he was inside the room, now that the time had come for some sort of action, he felt braver; it had always been so in the war.“I am calling you a Muggle,” said the voice coolly.“It means that you are not a wizard.”“I don’t know what you mean by wizard,” said Frank, his voice growing steadier.“All I know is I’ve heard enough to interest the police tonight, I have. You’ve done murder and you’re planning more! And I’ll tell you this too,” he added, on a sudden inspiration,“my wife knows I’m up here, and if I don’t come back—”“You have no wife,” said the cold voice, very quietly.“Nobody knows you are here. You told nobody that you were coming. Do not lie to Lord Voldemort, Muggle, for he knows… he always knows.…”“Is that right?” said Frank roughly.“Lord, is it? Well, I don’t think much of your manners, My Lord. Turn’ round and face me like a man, why don’t you?”“But I am not a man, Muggle,” said the cold voice, barely audible now over the crackling of the flames.“I am",Frank
"Now stop that babbling,",56585,56604,True,754:The two owls.?,"close to the little owl, whose cries had grown weaker and weaker and then stopped. They almost forgot to breathe in their anguish. There was indeed a tiny speckle in the darker feathers on the inside corner of her eye. But if this was Eglantine, was she alive? Was she dead? Was she truly…?“Eglantine?” they both called softly. CHAPTER TWENTY- THREE At Last! I need some more worms over here, quick!” the nest- maid snake called out.“The Ga’Hoolology chaw is digging them as fast as they can,” another snake called.“Oh, my goodness, what a mess this little Sooty Owl is.” The snake nudged the last worm of her supply on the gash in the Sooty’s wing.“Poor little fellow. Now stop that babbling, dear. You don’t have enough energy.” But the owlet kept up a steady singsong about a world of Tyto purity and supremacy. There had never been such a flurry in the Great Ga’Hoole Tree. The infirmary was brimming with stunned and wounded owls. And no one was spared a moment’s rest. The owls of the tree were cutting back and forth between branches, flying in the new arrivals, rushing about getting fresh worms for their wounds, plucking down from their own breasts to make up new beds, bringing cup after cup of milkberry tea. The nest- maid snakes were at the point of complete exhaustion and even Madame Plonk, who rarely lifted a talon around the tree to do anything, could not bear seeing her harp guild so worn out. So she joined in right beside them, learning how to place",The two owls
“anyone who seeks out the company of such vicious creatures as werewolves and giants would appear to have a fondness for violence.”,204384,204408,True,4437:A member of the Dark Force Defense League.M,"a dueling club and set a snake on another boy. It was all hushed up, though. But he’s made friends with werewolves and giants too. We think he’d do anything for a bit of power.” Parseltongue, the ability to converse with snakes, has long been considered a Dark Art. Indeed, the most famous Parselmouth of our times is none other than You- Know- Who himself. A member of the Dark Force Defense League, who wished to remain unnamed, stated that he would regard any wizard who could speak Parseltongue“as worthy of investigation. Personally, I would be highly suspicious of anybody who could converse with snakes, as serpents are often used in the worst kinds of Dark Magic, and are historically associated with evildoers.” Similarly,“anyone who seeks out the company of such vicious creatures as werewolves and giants would appear to have a fondness for violence.” Albus Dumbledore should surely consider whether a boy such as this should be allowed to compete in the Triwizard Tournament. Some fear that Potter might resort to the Dark Arts in his desperation to win the tournament, the third task of which takes place this evening.“Gone off me a bit, hasn’t she?” said Harry lightly, folding up the paper. Over at the Slytherin table, Malfoy, Crabbe, and Goyle were laughing at him, tapping their heads with their fingers, pulling grotesquely mad faces, and waggling their tongues like snakes.“How did she know your scar hurt in Divination?” Ron said.“There’s no way she was there, there’s no way she could’ve heard—”“The window was open,” said Harry.",A member of the Dark Force Defense League
"as serpents are often used in the worst kinds of Dark Magic,",204340,204381,True,4437:A member of the Dark Force Defense League.M,"speak Parseltongue,” reveals Draco Malfoy, a Hogwarts fourth year.“There were a lot of attacks on students a couple of years ago, and most people thought Potter was behind them after they saw him lose his temper at a dueling club and set a snake on another boy. It was all hushed up, though. But he’s made friends with werewolves and giants too. We think he’d do anything for a bit of power.” Parseltongue, the ability to converse with snakes, has long been considered a Dark Art. Indeed, the most famous Parselmouth of our times is none other than You- Know- Who himself. A member of the Dark Force Defense League, who wished to remain unnamed, stated that he would regard any wizard who could speak Parseltongue“as worthy of investigation. Personally, I would be highly suspicious of anybody who could converse with snakes, as serpents are often used in the worst kinds of Dark Magic, and are historically associated with evildoers.” Similarly,“anyone who seeks out the company of such vicious creatures as werewolves and giants would appear to have a fondness for violence.” Albus Dumbledore should surely consider whether a boy such as this should be allowed to compete in the Triwizard Tournament. Some fear that Potter might resort to the Dark Arts in his desperation to win the tournament, the third task of which takes place this evening.“Gone off me a bit, hasn’t she?” said Harry lightly, folding up the paper. Over at the Slytherin table, Malfoy, Crabbe, and Goyle were laughing at him, tapping their heads with their fingers, pulling grotesquely mad faces, and waggling their tongues like snakes.“How did she know your scar hurt in Divination?” Ron said.“There",A member of the Dark Force Defense League
Meester Bagman.”,90004,90014,True,439:Fleur.F,"there, looking at the three champions. It struck him how very tall all of them were. There was a sound of scurrying feet behind him, and Ludo Bagman entered the room. He took Harry by the arm and led him forward.“Extraordinary!” he muttered, squeezing Harry’s arm.“Absolutely extraordinary! Gentlemen… lady,” he added, approaching the fireside and addressing the other three.“May I introduce— incredible though it may seem— the fourth Triwizard champion?” Viktor Krum straightened up. His surly face darkened as he surveyed Harry. Cedric looked nonplussed. He looked from Bagman to Harry and back again as though sure he must have misheard what Bagman had said. Fleur Delacour, however, tossed her hair, smiling, and said,“Oh, vairy funny joke, Meester Bagman.”“Joke?” Bagman repeated, bewildered.“No, no, not at all! Harry’s name just came out of the Goblet of Fire!” Krum’s thick eyebrows contracted slightly. Cedric was still looking politely bewildered. Fleur frowned.“But evidently zair’ as been a mistake,” she said contemptuously to Bagman.“’ E can not compete.’ E is too young.”“Well… it is amazing,” said Bagman, rubbing his smooth chin and smiling down at Harry.“But, as you know, the age restriction was only imposed this year as an extra safety measure. And as his name’s come out of the goblet… I mean, I don’t think there can be any ducking out at this stage.…",Fleur
What’s hair?”,51156,51164,True,209:Martin.?,"It was now time to move to a ridge closer to the fire. The chaw lifted into the air, each owl flying close to its buddy. They were not halfway to the next ridge when they saw the thick smoke, almost white in the night, rolling up, and then the tongues of flame dancing against the night. Ezylryb began a steeply banking turn. The others followed. Bubo and Poot arrived shortly with fresh voles and mice in their talons, some still squirming.“Eat light, eat all the hair!” Ezylryb barked.“I wonder why he always calls it hair?” Martin said quietly.“They say he comes from a distant place called the land of the Great North Waters and they have odd ways of speaking,” Ruby said.“But hair? What’s hair?” Martin persisted.“Well, there’s fur and there’s feathers— I think it’s something in between,” Ruby said.“Do you want me to ask Otulissa?”“No!” Soren and Martin both groaned. Less than an hour had passed when Bubo flew down from his higher perch.“Prepare to fly.” The owls stood on the thin granite lip of the ridge, their talons hooked over the edge. They spread their wings, and Bubo gave the command.“FIRE!” They lifted off— first Bubo and Elvan, then Ruby and Poot, next Otulissa, Soren, and Martin, and last, as a rear guard, Ezyl- ryb. They had not flown very far before they felt the heat on their faces.",Martin
"this is heavy,”",120889,120896,True,396:Lee Jordan.M,"again. There were mountains of cakes and flagons of pumpkin juice and butterbeer on every surface; Lee Jordan had let off some Filibuster’s Fireworks, so that the air was thick with stars and sparks; and Dean Thomas, who was very good at drawing, had put up some impressive new banners, most of which depicted Harry zooming around the Horntail’s head on his Firebolt, though a couple showed Cedric with his head on fire. Harry helped himself to food; he had almost forgotten what it was like to feel properly hungry, and sat down with Ron and Hermione. He couldn’t believe how happy he felt; he had Ron back on his side, he’d gotten through the first task, and he wouldn’t have to face the second one for three months.“Blimey, this is heavy,” said Lee Jordan, picking up the golden egg, which Harry had left on a table, and weighing it in his hands.“Open it, Harry, go on! Let’s just see what’s inside it!”“He’s supposed to work out the clue on his own,” Hermione said swiftly.“It’s in the tournament rules.…”“I was supposed to work out how to get past the dragon on my own too,” Harry muttered, so only Hermione could hear him, and she grinned rather guiltily.“Yeah, go on, Harry, open it!” several people echoed. Lee passed Harry the egg, and Harry dug his fingernails into the groove that ran all the way around it and prised it open. It",Lee Jordan
"go on,",121004,121015,True,658:several people.?,"how happy he felt; he had Ron back on his side, he’d gotten through the first task, and he wouldn’t have to face the second one for three months.“Blimey, this is heavy,” said Lee Jordan, picking up the golden egg, which Harry had left on a table, and weighing it in his hands.“Open it, Harry, go on! Let’s just see what’s inside it!”“He’s supposed to work out the clue on his own,” Hermione said swiftly.“It’s in the tournament rules.…”“I was supposed to work out how to get past the dragon on my own too,” Harry muttered, so only Hermione could hear him, and she grinned rather guiltily.“Yeah, go on, Harry, open it!” several people echoed. Lee passed Harry the egg, and Harry dug his fingernails into the groove that ran all the way around it and prised it open. It was hollow and completely empty— but the moment Harry opened it, the most horrible noise, a loud and screechy wailing, filled the room. The nearest thing to it Harry had ever heard was the ghost orchestra at Nearly Headless Nick’s deathday party, who had all been playing the musical saw.“Shut it!” Fred bellowed, his hands over his ears.“What was that?” said Seamus Finnigan, staring at the egg as Harry slammed it shut again.“Sounded like a banshee.… Maybe you’ve got to get past one of those next, Harry!”“It was someone",several people
“Chaws— back up to your positions!”,19259,19268,True,172:Barran.F,"There were ledges that hung like galleries above. Soren, Twilight, Gylfie, and Digger gasped as they saw a great gathering of owls— all kinds of owls from Burrowing ones to Barn Owls, from Pygmy Owls to Elf Owls, from Screech Owls to Sooty Owls, from Great Horned Owls to Snowy Owls. Every kind of owl imaginable was here within the hollow of the great tree, their yellow, black, and amber eyes blinking and winking in the most friendly and inquisitive manner at the five new arrivals. Barran continued,“Welcome, young ones. Welcome to the Great Ga’Hoole Tree. One journey has ended…” Just one? thought Soren. But just then a series of deep, rolling gongs began to shake the entire tree. Barran stopped mid- speech.“Chaws— back up to your positions!” This hoot came from a Great Gray Owl in the gallery. Then, it seemed as if the entire hollow suddenly brightened as owls began donning battle claws and helmets, and the flames of the candles flickered off the bright polished surfaces of the armored owls.“Great Glaux— a battle! Quick, let’s get our claws!” Twilight began to hop up and down, pumping his wings.“Not so fast, young’un.” A plump, Short- eared Owl waddled up to them.“But where’s the battle?” Twilight said.“Beyond the Beyond.” The Short- eared Owl fixed him in the glow of her amber gaze.“And it’s not for you or you,” she said, turning to Gylfie,“or you",Barran
“What’s bonk?”,37073,37078,True,209:Martin.?,"coals from a new fire needed? Elvan turned to Bubo.“Bubo, as chief smith, would you care to answer that?”“Sure thing, mate.” Then he stepped up to Martin and, towering over him, began to speak.“A very good question. You are right, it is very possible to keep fires going forever and that is fine for some things— things like cooking and warming up a hollow. But for certain tasks, especially certain metalwork in the forge, we need new fresh coals that have been born of sparking trees full of sap. They become the blood of our hottest fires. Then again, we need a variety of coals. Certain coals from certain trees last longer. That’s how a fire gets bonk.”“What’s bonk?” asked Martin.“Ah, it’s an old smithy term. Hard to explain unless you’ve been working with the fires for some time. Then you know when you got a bonking good fire going in your forge. You know you got to look for the blue in the flame and then, this is the hardest, a tinge of green around the blue.” Soren was impressed. Being a blacksmith was truly a complicated business. Even though Bubo did not have the title of ryb, Soren thought he must be very smart. Soon, rest time was over, and they were told to begin marching without their coals to establish the rhythm again.“I simply can’t bear this a minute longer,” Otulissa said.“I think it’s going to be",Martin
